service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20170119,20171209
1021,1,1,1,1,1,1,1,20170119,20171209
1022,0,0,0,0,0,1,1,20170119,20171209
1040,0,0,0,0,0,0,0,20170119,20171209
1044,0,0,0,0,0,0,0,20170119,20171209
1045,0,0,0,0,0,0,0,20170119,20171209
105,0,0,0,0,0,0,0,20170119,20171209
108,1,1,1,1,1,1,0,20170119,20171209
11,0,0,0,0,0,0,0,20170119,20171209
12,0,0,0,0,0,0,0,20170119,20171209
1271,0,0,0,0,0,0,0,20170119,20171209
1340,0,0,0,0,0,0,0,20170119,20171209
137,0,0,0,0,1,0,0,20170119,20171209
138,1,1,1,1,0,0,0,20170119,20171209
140,0,0,0,0,1,0,0,20170119,20171209
1417,0,0,0,0,0,1,0,20170119,20171209
1418,0,0,0,0,0,0,1,20170119,20171209
1419,1,1,1,1,1,1,0,20170119,20171209
142,1,1,1,1,0,0,0,20170119,20171209
1420,1,1,1,1,1,0,1,20170119,20171209
1421,1,1,1,1,0,1,1,20170119,20171209
1422,1,1,1,1,1,1,1,20170119,20171209
1423,0,0,0,0,1,1,0,20170119,20171209
1424,1,1,1,1,0,0,1,20170119,20171209
1425,0,0,0,0,0,0,0,20170119,20171209
1426,1,1,1,1,1,1,1,20170119,20171209
1427,0,0,0,0,1,1,0,20170119,20171209
1428,1,1,1,1,0,0,1,20170119,20171209
1429,1,1,1,1,0,0,1,20170119,20171209
1430,0,0,0,0,0,0,0,20170119,20171209
1431,1,1,1,1,1,0,0,20170119,20171209
1432,1,1,1,1,0,1,1,20170119,20171209
1433,0,0,0,0,0,0,0,20170119,20171209
1434,0,0,0,0,1,0,0,20170119,20171209
1435,0,0,0,0,0,0,0,20170119,20171209
1436,1,1,1,1,0,1,1,20170119,20171209
1437,0,0,0,0,1,0,0,20170119,20171209
1438,1,1,1,1,1,1,1,20170119,20171209
1439,0,0,0,0,0,0,0,20170119,20171209
1440,1,1,1,1,1,1,1,20170119,20171209
1441,1,1,1,1,1,1,1,20170119,20171209
1442,1,1,1,1,1,1,1,20170119,20171209
1443,1,1,1,1,0,1,1,20170119,20171209
1444,1,1,1,1,0,1,1,20170119,20171209
1445,1,1,1,1,1,1,1,20170119,20171209
1446,1,1,1,1,1,0,0,20170119,20171209
1447,0,0,0,0,0,0,1,20170119,20171209
1448,0,0,0,0,0,1,0,20170119,20171209
1449,1,1,1,1,1,1,0,20170119,20171209
1450,1,1,1,1,0,1,1,20170119,20171209
1451,1,1,1,1,1,1,1,20170119,20171209
1452,1,1,1,1,0,1,1,20170119,20171209
1453,1,1,1,1,1,1,0,20170119,20171209
1454,1,1,1,1,1,1,1,20170119,20171209
1455,0,0,0,0,1,1,0,20170119,20171209
1456,1,1,1,1,0,0,0,20170119,20171209
1457,1,1,1,1,0,0,1,20170119,20171209
1458,1,1,1,1,0,0,1,20170119,20171209
1459,0,0,0,0,0,0,0,20170119,20171209
1460,1,1,1,1,0,0,1,20170119,20171209
1461,0,0,0,0,0,0,0,20170119,20171209
1462,0,0,0,0,0,0,0,20170119,20171209
1463,1,1,1,1,1,0,0,20170119,20171209
1464,0,0,0,0,0,1,0,20170119,20171209
1465,1,1,1,1,0,1,1,20170119,20171209
1466,1,1,1,1,0,1,1,20170119,20171209
1467,1,1,1,1,1,1,1,20170119,20171209
1468,1,1,1,1,0,0,1,20170119,20171209
1469,1,1,1,1,0,0,0,20170119,20171209
1470,1,1,1,1,0,0,1,20170119,20171209
1471,0,0,0,0,0,0,0,20170119,20171209
1472,1,1,1,1,1,1,1,20170119,20171209
1473,1,1,1,1,1,1,1,20170119,20171209
1474,0,0,0,0,0,0,0,20170119,20171209
1475,1,1,1,1,1,0,0,20170119,20171209
1476,1,1,1,1,1,1,1,20170119,20171209
1477,0,0,0,0,0,0,0,20170119,20171209
1478,0,0,0,0,0,0,0,20170119,20171209
1479,1,1,1,1,1,1,1,20170119,20171209
1480,1,1,1,1,0,1,1,20170119,20171209
1481,1,1,1,1,1,1,1,20170119,20171209
1482,1,1,1,1,0,1,1,20170119,20171209
1483,1,1,1,1,1,1,1,20170119,20171209
1484,1,1,1,1,0,0,1,20170119,20171209
1485,1,1,1,1,0,0,1,20170119,20171209
1486,1,1,1,1,0,1,1,20170119,20171209
1487,1,1,1,1,1,1,1,20170119,20171209
1488,1,1,1,1,0,0,0,20170119,20171209
