service_id,date,exception_type
1021,20170203,2
1021,20170204,2
1021,20170205,2
1022,20170204,2
1022,20170205,2
1022,20170414,1
1022,20170417,1
1022,20170501,1
1022,20170525,1
1022,20170605,1
1022,20171003,1
1022,20171031,1
1040,20170206,1
1040,20170207,1
1044,20170127,1
1044,20170128,1
1044,20170129,1
1045,20170127,1
1045,20170128,1
1271,20170126,1
1340,20170124,1
1340,20170125,1
1340,20170126,1
1417,20170416,1
1417,20170430,1
1417,20170604,1
1418,20170414,1
1418,20170416,2
1418,20170417,1
1418,20170430,2
1418,20170501,1
1418,20170525,1
1418,20170604,2
1418,20170605,1
1418,20171003,1
1418,20171031,1
1419,20170414,2
1419,20170416,1
1419,20170417,2
1419,20170430,1
1419,20170501,2
1419,20170525,2
1419,20170604,1
1419,20170605,2
1419,20171003,2
1419,20171031,2
1420,20170416,2
1420,20170430,2
1420,20170604,2
1421,20170413,2
1421,20170414,1
1421,20170524,2
1421,20171002,2
1421,20171030,2
1422,20170124,2
1423,20170213,1
1423,20170214,1
1423,20170413,1
1423,20170414,2
1423,20170416,1
1423,20170430,1
1423,20170524,1
1423,20170604,1
1423,20171002,1
1423,20171030,1
1424,20170124,2
1424,20170213,2
1424,20170214,2
1424,20170413,2
1424,20170414,1
1424,20170416,2
1424,20170430,2
1424,20170524,2
1424,20170604,2
1424,20171002,2
1424,20171030,2
1425,20170213,1
1425,20170214,1
1426,20170124,2
1426,20170213,2
1426,20170214,2
1427,20170413,1
1427,20170414,2
1427,20170416,1
1427,20170430,1
1427,20170524,1
1427,20170604,1
1427,20171002,1
1427,20171030,1
1428,20170124,2
1428,20170413,2
1428,20170414,1
1428,20170416,2
1428,20170430,2
1428,20170524,2
1428,20170604,2
1428,20171002,2
1428,20171030,2
1429,20170413,2
1429,20170414,1
1429,20170416,2
1429,20170430,2
1429,20170524,2
1429,20170604,2
1429,20171002,2
1429,20171030,2
1430,20170214,1
1430,20170215,1
1431,20170214,2
1431,20170215,2
1431,20170414,2
1431,20170417,2
1431,20170501,2
1431,20170525,2
1431,20170605,2
1431,20171003,2
1431,20171031,2
1432,20170119,2
1432,20170121,2
1432,20170122,2
1432,20170123,2
1432,20170124,2
1432,20170125,2
1432,20170126,2
1432,20170128,2
1432,20170129,2
1432,20170130,2
1432,20170131,2
1432,20170201,2
1432,20170202,2
1432,20170204,2
1432,20170205,2
1432,20170206,2
1432,20170207,2
1432,20170208,2
1432,20170209,2
1432,20170211,2
1432,20170212,2
1432,20170213,2
1432,20170214,2
1432,20170215,2
1432,20170216,2
1432,20170218,2
1432,20170219,2
1432,20170220,2
1432,20170413,2
1432,20170414,1
1432,20170524,2
1432,20171002,2
1432,20171030,2
1433,20170121,1
1433,20170122,1
1433,20170123,1
1433,20170125,1
1433,20170126,1
1433,20170128,1
1433,20170129,1
1433,20170130,1
1433,20170131,1
1433,20170201,1
1433,20170202,1
1433,20170203,1
1433,20170206,1
1433,20170207,1
1433,20170208,1
1433,20170209,1
1433,20170211,1
1433,20170212,1
1433,20170213,1
1433,20170214,1
1433,20170215,1
1433,20170216,1
1433,20170218,1
1433,20170219,1
1433,20170220,1
1434,20170120,2
1434,20170127,2
1434,20170203,2
1434,20170210,2
1434,20170217,2
1434,20170413,1
1434,20170414,2
1434,20170524,1
1434,20171002,1
1434,20171030,1
1435,20170120,1
1435,20170127,1
1435,20170210,1
1435,20170217,1
1436,20170119,2
1436,20170124,2
1436,20170203,1
1436,20170413,2
1436,20170414,1
1436,20170524,2
1436,20171002,2
1436,20171030,2
1437,20170203,2
1437,20170413,1
1437,20170414,2
1437,20170524,1
1437,20171002,1
1437,20171030,1
1438,20170119,2
1438,20170124,2
1438,20170203,2
1438,20170205,2
1439,20170203,1
1439,20170205,1
1440,20170119,2
1440,20170124,2
1440,20170205,2
1441,20170119,2
1442,20170131,2
1443,20170203,1
1443,20170413,2
1443,20170414,1
1443,20170524,2
1443,20171002,2
1443,20171030,2
1444,20170124,2
1444,20170203,1
1444,20170413,2
1444,20170414,1
1444,20170524,2
1444,20171002,2
1444,20171030,2
1445,20170119,2
1445,20170124,2
1446,20170203,2
1446,20170414,2
1446,20170417,2
1446,20170501,2
1446,20170525,2
1446,20170605,2
1446,20171003,2
1446,20171031,2
1447,20170205,2
1447,20170414,1
1447,20170416,2
1447,20170417,1
1447,20170430,2
1447,20170501,1
1447,20170525,1
1447,20170604,2
1447,20170605,1
1447,20171003,1
1447,20171031,1
1448,20170204,2
1448,20170416,1
1448,20170430,1
1448,20170604,1
1449,20170203,2
1449,20170204,2
1449,20170414,2
1449,20170416,1
1449,20170417,2
1449,20170430,1
1449,20170501,2
1449,20170525,2
1449,20170604,1
1449,20170605,2
1449,20171003,2
1449,20171031,2
1450,20170204,2
1450,20170205,2
1450,20170413,2
1450,20170414,1
1450,20170524,2
1450,20171002,2
1450,20171030,2
1451,20170202,2
1451,20170203,2
1451,20170204,2
1451,20170205,2
1451,20170219,2
1452,20170119,2
1452,20170202,2
1452,20170204,2
1452,20170205,2
1452,20170413,2
1452,20170414,1
1452,20170524,2
1452,20171002,2
1452,20171030,2
1453,20170119,2
1453,20170202,2
1453,20170203,2
1453,20170204,2
1453,20170414,2
1453,20170416,1
1453,20170417,2
1453,20170430,1
1453,20170501,2
1453,20170525,2
1453,20170604,1
1453,20170605,2
1453,20171003,2
1453,20171031,2
1454,20170119,2
1454,20170202,2
1454,20170203,2
1454,20170204,2
1454,20170205,2
1455,20170203,2
1455,20170204,2
1455,20170413,1
1455,20170414,2
1455,20170416,1
1455,20170430,1
1455,20170524,1
1455,20170604,1
1455,20171002,1
1455,20171030,1
1456,20170119,2
1456,20170202,2
1456,20170413,2
1456,20170417,2
1456,20170501,2
1456,20170524,2
1456,20170525,2
1456,20170605,2
1456,20171002,2
1456,20171003,2
1456,20171030,2
1456,20171031,2
1457,20170119,2
1457,20170202,2
1457,20170205,2
1457,20170413,2
1457,20170414,1
1457,20170416,2
1457,20170430,2
1457,20170524,2
1457,20170604,2
1457,20171002,2
1457,20171030,2
1458,20170119,2
1458,20170413,2
1458,20170414,1
1458,20170416,2
1458,20170430,2
1458,20170524,2
1458,20170604,2
1458,20171002,2
1458,20171030,2
1459,20170206,1
1459,20170207,1
1459,20170208,1
1459,20170212,1
1460,20170202,2
1460,20170205,2
1460,20170206,2
1460,20170207,2
1460,20170208,2
1460,20170212,2
1460,20170219,2
1460,20170413,2
1460,20170414,1
1460,20170416,2
1460,20170430,2
1460,20170524,2
1460,20170604,2
1460,20171002,2
1460,20171030,2
1461,20170202,1
1461,20170205,1
1462,20170202,1
1462,20170203,1
1462,20170204,1
1463,20170203,2
1463,20170206,2
1463,20170414,2
1463,20170417,2
