route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id
10141_109,61206598,1427,S+U Potsdamer Platz Bhf,1,,10344
10141_109,61206599,1427,S Wannsee Bhf,1,,10347
10141_109,61206600,1428,S Zehlendorf,1,,10346
10141_109,61206601,1429,S Schöneberg,1,,10345
10141_109,61206602,1417,S Wannsee Bhf,1,,10347
10141_109,61206603,1428,S Wannsee Bhf,1,,10347
10141_109,61206604,1418,S Wannsee Bhf,1,,10347
10141_109,61206605,1417,S Wannsee Bhf,1,,10322
10141_109,61206606,1418,S Wannsee Bhf,1,,10322
10141_109,61206607,1427,S Wannsee Bhf,1,,10347
10141_109,61206608,1427,S Wannsee Bhf,1,,10347
10141_109,61206609,1418,S Wannsee Bhf,1,,10347
10141_109,61206610,1418,S Wannsee Bhf,1,,10347
10141_109,61206611,53,S Wannsee Bhf,1,,10347
10141_109,61206612,53,S Wannsee Bhf,1,,10347
10141_109,61206618,1427,S Wannsee Bhf,1,,10347
10141_109,61206622,1427,S Wannsee Bhf,1,,10347
10141_109,61206624,1419,S Wannsee Bhf,1,,10347
10141_109,61206626,1419,S Wannsee Bhf,1,,10347
10141_109,61206627,1419,S Wannsee Bhf,1,,10347
10141_109,61206629,1419,S Wannsee Bhf,1,,10347
10141_109,61206630,28,S Wannsee Bhf,1,,10347
10141_109,61206631,1419,S Wannsee Bhf,1,,10347
10141_109,61206632,28,S Wannsee Bhf,1,,10347
10141_109,61206633,28,S Wannsee Bhf,1,,10347
10141_109,61206634,1419,S Wannsee Bhf,1,,10347
10141_109,61206635,1422,S Wannsee Bhf,1,,10347
10141_109,61206636,1422,S Wannsee Bhf,1,,10347
10141_109,61206637,1422,S Wannsee Bhf,1,,10347
10141_109,61206638,1422,S Wannsee Bhf,1,,10347
10141_109,61206639,1422,S Wannsee Bhf,1,,10347
10141_109,61206640,1422,S Wannsee Bhf,1,,10347
10141_109,61206641,1422,S Wannsee Bhf,1,,10347
10141_109,61206642,1422,S Wannsee Bhf,1,,10347
10141_109,61206643,1422,S Wannsee Bhf,1,,10347
10141_109,61206644,46,S Wannsee Bhf,1,,10347
10141_109,61206645,46,S Wannsee Bhf,1,,10347
10141_109,61206646,46,S Wannsee Bhf,1,,10347
10141_109,61206647,46,S Wannsee Bhf,1,,10347
10141_109,61206648,46,S Wannsee Bhf,1,,10347
10141_109,61206649,46,S Wannsee Bhf,1,,10347
10141_109,61206650,46,S Wannsee Bhf,1,,10347
10141_109,61206651,46,S Wannsee Bhf,1,,10347
10141_109,61206652,46,S Wannsee Bhf,1,,10347
10141_109,61206653,46,S Wannsee Bhf,1,,10347
10141_109,61206654,46,S Wannsee Bhf,1,,10347
10141_109,61206655,46,S Wannsee Bhf,1,,10347
10141_109,61206656,46,S Wannsee Bhf,1,,10347
10141_109,61206657,46,S Wannsee Bhf,1,,10347
10141_109,61206658,46,S Wannsee Bhf,1,,10347
10141_109,61206659,46,S Wannsee Bhf,1,,10347
10141_109,61206660,46,S Wannsee Bhf,1,,10347
10141_109,61206661,46,S Wannsee Bhf,1,,10347
10141_109,61206662,46,S Wannsee Bhf,1,,10347
10141_109,61206663,46,S Wannsee Bhf,1,,10347
10141_109,61206664,46,S Wannsee Bhf,1,,10347
10141_109,61206665,46,S Wannsee Bhf,1,,10347
10141_109,61206666,46,S Wannsee Bhf,1,,10347
10141_109,61206667,46,S Wannsee Bhf,1,,10347
10141_109,61206668,46,S Wannsee Bhf,1,,10347
10141_109,61206669,46,S Wannsee Bhf,1,,10347
10141_109,61206670,46,S Wannsee Bhf,1,,10347
10141_109,61206671,46,S Wannsee Bhf,1,,10347
10141_109,61206672,46,S Wannsee Bhf,1,,10347
10141_109,61206673,46,S Wannsee Bhf,1,,10347
10141_109,61206674,46,S Wannsee Bhf,1,,10347
10141_109,61206675,46,S Wannsee Bhf,1,,10347
10141_109,61206676,46,S Wannsee Bhf,1,,10347
10141_109,61206677,46,S Wannsee Bhf,1,,10347
10141_109,61206678,46,S Wannsee Bhf,1,,10347
10141_109,61206679,46,S Wannsee Bhf,1,,10347
10141_109,61206680,46,S Wannsee Bhf,1,,10347
10141_109,61206681,46,S Wannsee Bhf,1,,10347
10141_109,61206682,46,S Wannsee Bhf,1,,10347
10141_109,61206683,46,S Wannsee Bhf,1,,10347
10141_109,61206684,46,S Wannsee Bhf,1,,10347
10141_109,61206685,1431,S Wannsee Bhf,1,,10319
10141_109,61206686,28,S Wannsee Bhf,1,,10322
10141_109,61206687,1427,S Wannsee Bhf,1,,10347
10141_109,61206688,1427,S Wannsee Bhf,1,,10347
10141_109,61206689,1418,S Wannsee Bhf,1,,10347
10141_109,61206690,1418,S Wannsee Bhf,1,,10347
10141_109,61206691,53,S Wannsee Bhf,1,,10347
10141_109,61206692,28,S Wannsee Bhf,1,,10143
10141_109,61206693,46,"S Oranienburg Bhf, in Nordbahnhof bitte umsteigen",0,,10343
10141_109,61206694,1428,S Schönholz,0,,10338
10141_109,61206695,1424,S Frohnau,0,,10317
10141_109,61206696,1428,S+U Gesundbrunnen Bhf,0,,10342
10141_109,61206697,28,S Oranienburg Bhf,0,,10339
10141_109,61206698,28,S Oranienburg Bhf,0,,10337
10141_109,61206699,1421,S Oranienburg Bhf,0,,10340
10141_109,61206700,1417,S Oranienburg Bhf,0,,10341
10141_109,61206701,1417,S Oranienburg Bhf,0,,10341
10141_109,61206702,1417,S Oranienburg Bhf,0,,10341
10141_109,61206703,1427,S Oranienburg Bhf,0,,10341
10141_109,61206704,705,S Oranienburg Bhf,0,,10341
10141_109,61206705,705,S Oranienburg Bhf,0,,10341
10141_109,61206706,1426,S Oranienburg Bhf,0,,10341
10141_109,61206707,1424,S Oranienburg Bhf,0,,10341
10141_109,61206708,1424,S Oranienburg Bhf,0,,10341
10141_109,61206709,1420,S Oranienburg Bhf,0,,10341
10141_109,61206710,1418,S Oranienburg Bhf,0,,10341
10141_109,61206713,1417,S Oranienburg Bhf,0,,10341
10141_109,61206716,1427,S Oranienburg Bhf,0,,10341
10141_109,61206717,1423,S Oranienburg Bhf,0,,10341
10141_109,61206718,1423,S Oranienburg Bhf,0,,10341
10141_109,61206723,1419,S Oranienburg Bhf,0,,10341
10141_109,61206725,1419,S Oranienburg Bhf,0,,10341
10141_109,61206726,1419,S Oranienburg Bhf,0,,10341
10141_109,61206727,1419,S Oranienburg Bhf,0,,10341
10141_109,61206728,1419,S Oranienburg Bhf,0,,10341
10141_109,61206729,28,S Oranienburg Bhf,0,,10341
10141_109,61206730,1419,S Oranienburg Bhf,0,,10341
10141_109,61206731,28,S Oranienburg Bhf,0,,10341
10141_109,61206732,28,S Oranienburg Bhf,0,,10341
10141_109,61206733,1422,S Oranienburg Bhf,0,,10341
10141_109,61206734,1422,S Oranienburg Bhf,0,,10341
10141_109,61206735,1422,S Oranienburg Bhf,0,,10341
10141_109,61206736,1422,S Oranienburg Bhf,0,,10341
10141_109,61206737,46,S Oranienburg Bhf,0,,10341
10141_109,61206738,1421,S Oranienburg Bhf,0,,10341
10141_109,61206739,46,S Oranienburg Bhf,0,,10341
10141_109,61206740,1421,S Oranienburg Bhf,0,,10341
10141_109,61206741,1420,S Oranienburg Bhf,0,,10341
10141_109,61206742,46,S Oranienburg Bhf,0,,10341
10141_109,61206743,1420,S Oranienburg Bhf,0,,10341
10141_109,61206744,46,S Oranienburg Bhf,0,,10341
10141_109,61206745,46,S Oranienburg Bhf,0,,10341
10141_109,61206746,46,S Oranienburg Bhf,0,,10341
10141_109,61206747,46,S Oranienburg Bhf,0,,10341
10141_109,61206748,46,S Oranienburg Bhf,0,,10341
10141_109,61206749,46,S Oranienburg Bhf,0,,10341
10141_109,61206750,46,S Oranienburg Bhf,0,,10341
10141_109,61206751,46,S Oranienburg Bhf,0,,10341
10141_109,61206752,46,S Oranienburg Bhf,0,,10341
